"VOLE_ID","TRT","SEX","NULL_CHECK","SP_INDEX","NO_TRIAL2_OBJ1_TOT_DUR","NO_TRIAL2_OBJ2_TOT_DUR","NO_TRIAL2_TOT_DIST","NO_TRIAL3_OBJ1_TOT_DUR","NO_TRIAL3_OBJ2_TOT_DUR","NO_TRIAL3_TOT_DIST","NS_BOUTS_EMPTY","NS_BOUTS_STRANGER","NS_DUR_EMPTY","NS_DUR_STRANGER","NS_INDEX","NS_LAT_EMPTY","NS_LAT_STRANGER","NS_PCT_WSTRANGER","NS_TOT_DIST","OF_BOUTS_CENTER","OF_DUR_CENTER","OF_TOT_DIST","PP_INDEX","PP_PARTNER_LAT","PP_PARTNER_TOT_BOUTS","PP_PARTNER_TOT_DUR","PP_STRANGER_LAT","PP_STRANGER_TOT_BOUTS","PP_STRANGER_TOT_DUR","PP_TOT_DIST","SP_BOUTS_CAGEMATE","SP_BOUTS_STRANGER","SP_DUR_CAGEMATE","SP_DUR_STRANGER","SP_LAT_CAGEMATE","SP_LAT_STRANGER","SP_TOT_DIST"
"133","HIGH","M","Complete Data","-0.8246","47.2500","18.1800","5189.9000","14.1500","32.0000","4326.5400","33.0000","0.0000","101.4000","0.0000","-1.0000","41.9100","600.0000","0.0000","4834.1400","11.0000","15.7800","50390.7900","-0.1093","7.7700","7.0000","150.4200","64.6300","20.0000","187.3200","9790.0600","27.0000","8.0000","134.7000","12.9500","70.8700","162.7300","8437.5300"
"37","CTRL","M","Complete Data","-0.7876","55.5200","149.6800","6076.2000","71.5400","96.2300","4565.3300","20.0000","20.0000","80.4100","70.4700","-0.0659","78.8800","46.5100","0.4671","6708.7900","7.0000","27.4300","59792.8600","0.6742","3.3400","8.0000","334.5000","51.1200","12.0000","65.1000","5506.3200","28.0000","7.0000","123.3200","14.6500","32.5300","5.3400","6325.6100"
"167","5MT","F","Complete Data","-0.7622","72.4400","39.4100","9324.1600","46.2800","173.3700","5582.9600","9.0000","13.0000","256.1600","197.7300","-0.1287","7.4100","37.7000","0.4356","10203.0400","17.0000","53.4900","62524.2900","0.1131","1.0700","20.0000","252.9500","21.2200","20.0000","201.5300","18540.4600","20.0000","10.0000","313.8100","42.3400","10.9100","3.9700","8682.6200"
"142","HIGH","M","Complete Data","-0.7367","54.1900","8.8100","1944.3100","19.9500","77.9100","3790.2800","31.0000","8.0000","114.2100","36.2700","-0.5179","54.7900","27.3900","0.2410","7874.3500","12.0000","45.5100","60917.8900","0.1469","1.3000","12.0000","139.5400","23.2200","6.0000","103.8000","8330.4500","23.0000","7.0000","146.3500","22.1900","38.5700","2.1400","2187.9400"
"233","CTRL","F","Complete Data","-0.7206","35.9000","116.2200","6143.3300","3.0700","100.8300","5041.8300","14.0000","17.0000","104.2000","131.4300","0.1156","92.0900","4.4000","0.5578","9104.8600","38.0000","53.8200","92458.5800","-0.2203","54.7900","20.0000","122.1600","6.7700","42.0000","191.1900","24592.8100","30.0000","15.0000","237.1700","38.5100","19.6200","12.9500","10714.2500"
"149","5MT","F","Complete Data","-0.7141","20.8500","66.4300","3530.9800","18.9900","35.6700","4852.9200","10.0000","13.0000","194.6300","158.7600","-0.1015","65.3700","20.1200","0.4492","6653.3200","24.0000","101.2700","49709.4900","-0.1216","20.7500","8.0000","142.5400","186.4200","5.0000","182.0200","6717.2400","5.0000","1.0000","69.4400","11.5800","29.7000","528.0600","4391.4100"
"24","CTRL","M","Complete Data","-0.7068","15.9500","87.1200","6909.4100","23.5900","23.8900","5189.1400","34.0000","13.0000","124.6200","58.2900","-0.3626","84.4500","8.6800","0.3187","6832.3800","4.0000","38.9700","32350.5700","0.5590","3.9700","24.0000","189.9900","20.8500","16.0000","53.7500","13870.1500","7.0000","7.0000","106.2400","18.2500","17.2500","4.5700","5356.8700"
"163","5MT","F","Complete Data","-0.6789","12.8100","16.5500","2161.2700","7.5400","3.5000","2580.0900","20.0000","5.0000","320.3200","85.7200","-0.5778","5.6700","201.3000","0.2111","8577.3800","2.0000","2.5700","41403.5000","-0.6270","42.5800","9.0000","43.0400","0.4300","12.0000","187.7500","7998.7100","10.0000","10.0000","281.7800","53.8900","63.2300","11.4800","3627.9200"
"195","5MT","F","Complete Data","-0.6366","36.7400","36.6400","2195.9300","13.4800","15.6200","4065.0400","10.0000","17.0000","181.3100","219.6200","0.0956","11.0800","115.5500","0.5478","7261.7500","6.0000","10.5400","56159.5300","-0.3962","3.5000","20.0000","75.8100","8.1400","32.0000","175.2800","21652.3400","7.0000","9.0000","251.2200","55.7900","1.1000","165.7300","6832.8300"
"75","HIGH","F","Complete Data","-0.6358","25.6300","29.1300","8567.8000","48.1800","111.6100","8797.8300","24.0000","4.0000","108.4800","10.0100","-0.8310","27.2300","82.0800","0.0845","7416.3300","14.0000","37.6700","65234.2200","0.1688","45.6100","9.0000","265.6300","23.5900","10.0000","188.9200","7691.2100","23.0000","10.0000","80.6100","17.9500","63.0600","4.7700","5518.8500"
"122","MID","F","Complete Data","-0.6197","64.5000","96.0000","4265.6500","31.0600","38.0700","3181.2400","24.0000","6.0000","125.8300","90.1200","-0.1654","4.5000","313.7500","0.4173","4378.9200","24.0000","90.5200","70751.9200","-0.4572","225.3900","6.0000","93.4900","39.4400","10.0000","250.9800","6733.9400","24.0000","2.0000","81.7200","19.1900","36.2700","437.3700","4810.6100"
"202","CTRL","M","Complete Data","-0.6085","33.2000","40.5100","12030.1700","16.8800","24.4600","8808.9500","18.0000","9.0000","177.5400","224.6900","0.1172","11.7100","102.2400","0.5586","9496.4100","17.0000","37.2700","63582.6800","-0.5587","25.2300","18.0000","90.0600","5.5400","25.0000","318.1200","17462.7300","18.0000","10.0000","270.3700","65.8000","0.9300","24.3200","9847.2200"
"179","5MT","M","Complete Data","-0.5866","46.8500","49.7500","6876.8200","38.2400","49.3500","7579.3600","9.0000","14.0000","114.6500","365.7300","0.5227","20.0500","42.1100","0.7613","9545.3400","34.0000","121.2200","70009.0200","0.7291","0.9700","18.0000","405.5400","44.5800","5.0000","63.5300","9662.9000","13.0000","10.0000","271.7400","70.8000","14.1500","1.3000","7850.1500"
"17","CTRL","M","Complete Data","-0.5845","56.5900","39.8400","2894.2800","23.8200","29.4600","5264.2100","27.0000","6.0000","93.1300","28.2600","-0.5344","8.2400","66.7000","0.2328","4667.6900","17.0000","56.0200","51963.3600","0.9897","52.1900","17.0000","180.3100","73.0100","1.0000","0.9300","9396.2400","15.0000","6.0000","174.1100","45.6500","200.4000","53.8200","4627.7000"
"168","5MT","F","Complete Data","-0.5642","29.4600","20.0500","6484.0700","2.2000","0.0000","529.1200","14.0000","27.0000","273.0400","155.7900","-0.2734","60.8300","1.4300","0.3633","10918.8300","11.0000","34.3000","65352.3200","0.6151","3.0000","10.0000","411.3800","24.1600","11.0000","98.0300","10925.8500","24.0000","6.0000","66.7300","18.5900","19.4500","4.4000","5533.9300"
"172","5MT","F","Complete Data","-0.5508","41.8400","46.5500","14748.1000","11.8500","18.3900","9556.1300","13.0000","15.0000","121.2900","381.2800","0.5173","3.4400","56.1900","0.7587","7747.1000","5.0000","3.7400","73632.7500","0.8105","0.0000","20.0000","453.8500","18.3900","7.0000","47.5100","9518.6500","13.0000","16.0000","378.4500","109.6100","15.7800","1.8700","8063.3100"
"74","HIGH","M","Complete Data","-0.5464","33.7300","41.4100","10456.0500","21.2200","20.2200","12757.1300","21.0000","18.0000","73.0700","46.5100","-0.2221","37.4400","26.2900","0.3889","5340.5900","19.0000","37.9400","76495.5100","-0.0648","2.0000","18.0000","164.8000","21.3500","23.0000","187.6500","19540.0400","24.0000","22.0000","155.9900","45.7500","63.0600","16.2200","11785.9800"
"27","CTRL","M","Incomplete Data","-0.5360","66.0000","58.9900","3732.4600","41.2400","49.2500","3358.7000","23.0000","26.0000","57.5600","49.0200","-0.0801","23.3900","101.4000","0.4599","8588.0000","23.0000","54.6500","53018.4400","","","","","","","","","25.0000","22.0000","198.1300","59.8600","48.4500","6.3700","7556.6200"
"183","5MT","M","Complete Data","-0.5276","23.9900","28.5300","10433.1100","13.4800","28.0300","13396.2600","17.0000","20.0000","165.8700","221.4900","0.1436","6.9400","33.2000","0.5718","13109.0700","11.0000","33.2300","77632.2700","-0.1193","8.4800","24.0000","197.1300","0.0000","24.0000","250.5200","19168.9000","22.0000","14.0000","306.5400","94.7900","2.0400","14.0800","12382.3000"
"63","MID","F","Complete Data","-0.5033","46.2100","65.6300","7601.9200","48.6500","13.7100","6152.5100","19.0000","19.0000","115.0800","62.6300","-0.2951","25.5900","139.1700","0.3524","5006.8700","14.0000","61.2600","47035.0200","-0.1635","3.5000","24.0000","146.0800","9.3100","15.0000","203.2000","14427.2700","16.0000","11.0000","140.5700","46.4500","1.2700","25.9600","6932.5700"
"16","CTRL","M","Complete Data","-0.4755","32.3700","39.5400","7749.4700","22.0200","49.8800","13567.7100","15.0000","16.0000","48.1500","48.0100","-0.0015","203.6000","25.6600","0.4993","6765.7100","41.0000","136.3000","55511.1300","0.7908","10.1400","24.0000","354.4900","51.6500","12.0000","41.4100","15303.6000","8.0000","10.0000","55.3900","19.6900","243.3400","91.4600","4726.6300"
"191","5MT","M","Complete Data","-0.4725","24.0600","58.6300","16033.0800","55.1600","30.2000","11309.8500","14.0000","12.0000","195.7000","193.0600","-0.0068","8.5400","25.8600","0.4966","10047.6800","19.0000","52.1200","80229.7200","0.1337","25.9300","14.0000","212.8500","4.4400","18.0000","162.6600","12924.9700","22.0000","17.0000","316.9500","113.5500","1.7700","18.6500","12753.5800"
"254","CTRL","F","Complete Data","-0.4723","24.0200","22.0600","4306.8200","8.7100","14.4500","3132.8700","10.0000","11.0000","144.6100","301.4300","0.3516","32.1700","7.2400","0.6758","9129.5500","13.0000","76.3400","44264.0900","0.4314","68.5000","5.0000","368.8700","1.9000","7.0000","146.5100","5721.2700","10.0000","5.0000","367.5000","131.7300","2.1000","20.3900","6504.9200"
"246","CTRL","F","Complete Data","-0.4642","36.0000","34.3000","10100.5800","43.9100","36.4000","11991.7900","24.0000","4.0000","304.1000","45.4800","-0.7398","9.5800","517.5500","0.1301","9027.1500","27.0000","69.5700","57354.7900","0.4367","59.9600","16.0000","319.6900","7.9400","17.0000","125.3300","16484.8700","22.0000","15.0000","203.7000","74.5400","8.8100","91.8300","11217.6400"
"229","HIGH","M","Complete Data","-0.4525","34.7300","78.4100","5468.3200","28.2600","36.2400","5809.4400","8.0000","6.0000","376.7800","78.6100","-0.6548","26.6300","7.0100","0.1726","5192.7100","13.0000","59.0300","51663.3800","0.1561","7.3400","11.0000","262.3300","56.6200","6.0000","191.4900","7575.0600","7.0000","8.0000","265.8300","100.2000","62.8000","25.3600","5807.9200"
"241","LOW","F","Complete Data","-0.4468","3.8000","13.9100","3303.3900","30.9300","39.8100","6837.7800","19.0000","8.0000","365.5700","123.5900","-0.4947","2.2400","106.8400","0.2527","10842.2500","18.0000","30.2600","62443.1400","0.9706","0.0000","28.0000","429.9300","182.6200","2.0000","6.4100","11366.5400","15.0000","12.0000","286.1500","109.4100","0.0000","10.9400","9431.3800"
"84","LOW","F","Complete Data","-0.4141","85.1500","71.7100","7602.9600","87.2500","44.4100","5541.3200","21.0000","23.0000","84.0200","124.3600","0.1936","16.9200","72.0700","0.5968","6463.1400","17.0000","74.2100","44267.5200","0.4099","2.7700","11.0000","354.8900","28.0300","5.0000","148.5500","7330.5200","19.0000","8.0000","108.9800","45.1500","3.4700","180.0800","2684.3800"
"60","MID","F","Complete Data","-0.4024","41.8100","41.1400","5979.8900","21.8200","66.7700","4611.1500","27.0000","13.0000","117.9500","56.2600","-0.3541","21.0500","179.3500","0.3229","7158.8300","13.0000","35.6700","59295.6500","0.0076","67.8000","7.0000","197.2000","14.5800","13.0000","194.2300","8371.9300","11.0000","10.0000","110.8800","47.2500","11.9100","2.0000","5841.9700"
"187","5MT","F","Complete Data","-0.3597","31.0000","97.5300","7681.1200","20.3500","51.6900","11653.8300","15.0000","10.0000","219.5500","159.9600","-0.1570","9.5100","62.6000","0.4215","10568.9700","33.0000","84.6500","81676.4800","0.1585","2.7700","11.0000","238.4400","51.1800","6.0000","173.2100","7584.0900","22.0000","19.0000","196.6000","92.5900","15.5800","0.3000","11087.7100"
"81","LOW","M","Complete Data","-0.3491","26.1600","21.7900","9725.4200","14.9800","16.7800","10869.5700","25.0000","32.0000","114.1500","119.5200","0.0230","75.0400","14.5500","0.5115","9628.7100","14.0000","39.8100","48958.4000","0.4116","2.0400","16.0000","327.3300","11.4800","16.0000","136.4400","12404.1800","31.0000","12.0000","138.9400","67.0300","8.2700","1.0300","8811.0300"
"130","HIGH","F","Complete Data","-0.3387","30.1300","74.2100","1393.6200","2.1700","70.5400","2582.9600","19.0000","11.0000","151.3500","46.6800","-0.5286","8.9100","56.7200","0.2357","5571.6500","0.0000","0.0000","37421.5500","0.9336","0.2000","8.0000","433.4000","27.0900","5.0000","14.8800","5254.3600","14.0000","13.0000","52.0900","25.7300","135.4400","74.6400","5124.6000"
"3","CTRL","F","Incomplete Data","-0.3354","","","","","","","15.0000","8.0000","189.5600","48.5500","-0.5922","26.1900","158.7300","0.2039","7236.9600","18.0000","29.8000","73064.4100","","","","","","","","","28.0000","19.0000","151.5200","75.4100","23.5200","1.6700","9369.0400"
"135","HIGH","M","Complete Data","-0.2935","10.5400","67.8700","3189.0700","35.6700","87.3900","3370.1200","11.0000","43.0000","53.9900","174.6100","0.5276","5.3100","53.7900","0.7638","5103.6500","17.0000","35.6000","52035.4200","0.4641","12.4800","10.0000","172.5400","4.7400","9.0000","63.1600","7246.9800","22.0000","9.0000","94.8300","51.7900","1.6300","51.4800","2991.9500"
"170","5MT","M","Complete Data","-0.2922","42.7800","41.8100","8613.1100","9.9400","28.4600","7083.5500","11.0000","8.0000","150.8500","75.5800","-0.3324","40.4400","28.4000","0.3338","6238.9400","27.0000","45.9800","73394.2800","-0.6639","1.5300","16.0000","76.6400","12.4100","33.0000","379.3500","19836.9600","14.0000","13.0000","108.6100","59.4900","40.0100","14.9500","5629.7700"
"97","LOW","M","Complete Data","-0.2838","0.0000","18.9900","3312.6100","16.0800","39.3700","2903.6200","20.0000","9.0000","142.5100","89.8600","-0.2266","3.6700","86.7900","0.3867","3522.3600","6.0000","21.2900","35674.7200","-0.0017","1.0300","7.0000","67.8700","215.4500","7.0000","68.1000","5399.7500","16.0000","12.0000","110.4100","61.5900","76.7100","5.9100","4364.5000"
"234","CTRL","M","Complete Data","-0.2829","8.1100","64.9000","10422.8800","3.6000","8.0100","3658.6100","14.0000","13.0000","246.2800","239.7100","-0.0135","1.2300","50.9200","0.4932","10892.8200","10.0000","33.1700","68153.3200","-0.1725","14.2500","19.0000","219.5200","0.0000","16.0000","311.0100","14293.3100","21.0000","22.0000","258.6900","144.6100","9.5400","1.8000","13763.2000"
